,title,type,metro_distance,square,price,floor,floors,district,station
128,合租·海珠公寓4居室-南卧,合租,162,16,4530,9,20,徐汇区,嘉善路
129,合租·嘉宝都市港湾4居室-南卧,合租,379,17,2830,9,14,嘉定区,丰庄
130,合租·光鸿苑3居室-南卧,合租,975,19,3290,6,6,浦东新区,临沂新村
131,合租·梅花苑4居室-南卧,合租,877,20,3390,6,6,浦东新区,世纪公园
132,合租·美晶佳园4居室-南卧,合租,518,20,3990,6,21,徐汇区,上海体育场
133,合租·海天公寓3居室-南卧,合租,492,14,3830,7,18,徐汇区,徐家汇
134,合租·阳光花城4居室-南卧,合租,164,15,4390,5,19,浦东新区,广兰路
135,合租·名江七星城4居室-南卧,合租,338,17,4690,10,28,虹口区,国际客运中心
136,合租·御桥花园3居室-南卧,合租,228,20,2390,2,6,浦东新区,御桥
137,合租·海厦小区3居室-南卧,合租,433,23,3960,7,8,长宁区,延安西路
138,合租·御桥花园3居室-南卧,合租,228,19,2790,4,6,浦东新区,御桥
139,合租·荣成大厦4居室-南卧,合租,140,14,3560,28,30,浦东新区,浦东大道
140,合租·天申小区3居室-南卧,合租,500,18,3290,2,6,长宁区,北新泾
141,合租·鹤庆苑3居室-南卧,合租,656,19,1760,3,6,闵行区,金平路
142,合租·裕德大厦3居室-南卧,合租,434,17,3860,2,24,徐汇区,上海体育馆
143,合租·高境一村3居室-南卧,合租,381,21,2790,4,7,宝山区,殷高西路
144,合租·畅馨园4居室-南卧,合租,592,21,1990,2,12,闵行区,剑川路
145,合租·金橘新苑4居室-南卧,合租,803,15,2790,15,18,浦东新区,三林东
146,合租·东方佳苑3居室-南卧,合租,268,16,3630,2,6,浦东新区,临沂新村
147,合租·市光四村2居室-南卧,合租,688,23,3030,6,6,杨浦区,市光路
148,合租·田林十四村3居室-南卧,合租,534,18,3690,7,18,徐汇区,桂林路
149,合租·新梅共和城3居室-南卧,合租,274,15,3390,2,16,静安区,上海马戏城
150,合租·曹杨六村(兰溪园)2居室-南卧,合租,415,21,3360,7,7,普陀区,曹杨路
151,合租·阳光花城4居室-南卧,合租,164,12,3590,4,19,浦东新区,广兰路
